站号       经度         纬度         省份    城市                    站点                        系统编号
110000041  116.17       40.2865      北京    北京市                  定陵(对照点)                1002A
110000244  116.434      39.9522      北京    北京市                  东四                        1003A
110000245  116.434      39.8745      北京    北京市                  天坛                        1004A
110000246  116.4        39.98        北京    北京市                  奥体中心                    1011A
110000247  116.473      39.9716      北京    北京市                  农展馆                      1005A
110000249  116.225      39.9279      北京    北京市                  古城                        1012A
110000250  116.361      39.9425      北京    北京市                  官园                        1006A
110000251  116.315      39.9934      北京    北京市                  海淀区万柳                  1007A
110000252  116.366      39.8673      北京    北京市                  万寿西宫                    1001A
110000253  116.72       40.1438      北京    北京市                  顺义新城                    1008A
110000254  116.644      40.3937      北京    北京市                  怀柔镇                      1009A
110000255  116.23       40.1952      北京    北京市                  昌平镇                      1010A
120000005  117.157      38.9194      天津    天津市                  团泊洼(对照点)              1027A
120000062  117.145      39.1654      天津    天津市                  勤俭道                      1015A
120000095  117.237      39.1082      天津    天津市                  大直沽八号路                1017A
120000104  117.202      39.0927      天津    天津市                  前进道                      1018A
120000123  117.7918     39.2474      天津    天津市                  河西一经路(启用150702)      2858A
120000137  117.457      38.8394      天津    天津市                  永明路                      1024A
120000143  117.707      39.0343      天津    天津市                  第四大街                    1023A
120000168  117.307      39.0877      天津    天津市                  跃进路                      1021A
120000176  117.3747     38.9846      天津    天津市                  津沽路(启用150702)          2859A
120000186  117.1837     39.2133      天津    天津市                  淮河道                      1019A
120000302  117.764      39.1587      天津    天津市                  汉北路                      1026A
120000306  117.1589     39.0845      天津    天津市                  宾水西道(启用150702)        2860A
120000307  117.1941     39.1067      天津    天津市                  大理道(启用160601)          2922A
120000308  117.3916     39.1495      天津    天津市                  西四道(启用170426)          3051A
120000309  117.2099     39.16969     天津    天津市                  中山北路(启用161122)        3020A
130100001  114.3541     37.9097      河北    石家庄市                封龙山(对照点)              1035A
130100052  114.4548     38.0513      河北    石家庄市                职工医院                    1029A
130100053  114.5214     38.0524      河北    石家庄市                人民会堂                    1034A
130100054  114.6046     38.0398      河北    石家庄市                高新区                      1030A
130100055  114.5019     38.1398      河北    石家庄市                西北水源                    1031A
130100056  114.4586111  38.00583333  河北    石家庄市                西南高教                    1032A
